ten_loai_sach,dinh_huong,lop,chu_de,loai,bai_hoc,muc_tieu,nang_luc_chinh,nang_luc_ho_tro,chi_muc_1,chi_muc_2,chi_muc_3,chi_muc_4,chi_muc_5,chi_muc_6,chi_muc_7
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Thực hành,Bài 23. Thực hành truy xuất dữ liệu qua liên kết các bảng,Hiểu được cách thức truy xuất dữ liệu qua liên kết các bảng.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Lập danh sách các bản nhạc với tên bản nhạc và tên tác giả.,Nhiệm vụ 2: Lập danh sách các bản thu âm với đủ các thông tin.,Nhiệm vụ 3: Tìm hiểu một chức năng của ứng dụng Quản lí dữ liệu âm nhạc.,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Thực hành,Bài 24. Thực hành sao lưu dữ liệu,Nắm được các thao tác sao lưu và phục hồi dữ liệu.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Thực hành sao lưu CSDL.,Nhiệm vụ 2: Thực hành phục hồi (restore) CSDL.,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Lý thuyết,Bài 25. Phần mềm chỉnh sửa ảnh,"Làm quen với phần mềm chỉnh sửa ảnh. 
Thực hiện được một số thao tác cơ bản với ảnh: phóng to, thu nhỏ, xoay, cắt ảnh.","NLa, NLe, NLc","NLb, NLd",Giới thiệu ảnh số.,Phần mềm chỉnh sửa ảnh.,Thực hành,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Lý thuyết,Bài 26. Công cụ tinh chỉnh màu sắc và công cụ chọn,"Biết các tham số biểu diễn màu của ảnh số.
Biết một số công cụ chọn đơn giản.
Thực hiện được một số lệnh chỉnh màu đơn giản.","NLa, NLe, NLc","NLb, NLd",Công cụ tinh chỉnh màu sắc,"Vai trò, ý nghĩa và cách thiết lập vùng chọn",Thực hành,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Lý thuyết,Bài 27. Công cụ vẽ và một số ứng dụng,"Biết được khái niệm lớp ảnh.
Biết một số công cụ vẽ đơn giản.
Thực hiện được một số ứng dụng để tẩy, làm sạch và xoá các vết xước trên ảnh.","NLa, NLe, NLc","NLb, NLd",Giới thiệu về lớp ảnh,Giới thiệu một số công cụ vẽ,Thiết lập màu sắc,Thực hành,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Lý thuyết,Bài 28. Tạo ảnh động,Thực hiện được các thao tác tạo ảnh động từ mô hình lớp ảnh.,"NLa, NLe, NLc","NLb, NLd",Các thao tác xử lí trên lớp ảnh,Thiết lập ảnh động từ lớp ảnh,Thực hành,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Lý thuyết,Bài 29. Khám phá phần mềm làm phim,"Tạo được các đoạn phim, nhập tư liệu từ ảnh và video có sẵn, biên tập được đoạn phim phục vụ học tập và giải trí.","NLa, NLe, NLc","NLb, NLd",Khám phá phần mềm làm phim,Thực hành tạo và biên tập một đoạn phim từ tư liệu ảnh và video có sẵn,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Lý thuyết,Bài 30. Biên tập phim,"Sử dụng được một số công cụ cơ bản biên tập phim: chỉnh sửa hình ảnh, âm thanh, tạo phụ đề, tạo các hiệu ứng chuyển cảnh, căn chỉnh thời gian.","NLa, NLe, NLc","NLb, NLd",Biên tập phim,Thực hành,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Thực hành,Bài 31. Thực hành tạo phim hoạt hình,"Tạo được đoạn phim hoạt hình từ ảnh, có hội thoại giữa các nhân vật và có phụ đề.","NLa, NLe, NLc","NLb, NLd","Nhiệm vụ 1: Xây dựng kịch bản, chuẩn bị tư liệu",Nhiệm vụ 2: Tạo đoạn phim hoạt hình từ các tư liệu theo kịch bản,Nhiệm vụ 3: Bổ sung phụ đề và hội thoại,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,Lý thuyết,Bài 17. Dữ liệu mảng một chiều và hai chiều,Biết cách thiết lập và làm việc với cấu trúc dữ liệu mảng một chiều và hai chiều.,NLc,"NLa, NLe, NLb, NLd",Cấu trúc dữ liệu mảng một chiều,Cấu trúc dữ liệu mảng hai chiều,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Thực hành,Bài 18. Thực hành dữ liệu mảng một chiều và hai chiều,"Sử dụng được mảng một chiều và hai chiều trong lập trình.
Sử dụng được kiểu dữ liệu list trong một vài bài toán cụ thể.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Viết chương trình quản lí điểm kiểm tra một môn học của một học sinh,Nhiệm vụ 2: Viết chương trình quản lí điểm kiểm tra một môn học của tất cả học sinh trong lớp,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Lý thuyết,Bài 19. Bài toán tìm kiếm,"Biết được ý nghĩa của bài toán tìm kiếm trên thực tế.
Biết và thực hiện được chương trình tìm kiếm tuần tự và tìm kiếm nhị phân.",NLc,"NLa, NLe, NLb, NLd",Bài toán tìm kiếm trên thực tế,Tìm kiếm tuần tự,Tìm kiếm nhị phân,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Thực hành,Bài 20. Thực hành bài toán tìm kiếm,"Biết được cách đọc dữ liệu từ tệp dữ liệu trong máy tính.
Áp dụng được thuật toán tìm kiếm trong một vài bài toán cụ thể.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Đọc và ghi tệp trong Python,Nhiệm vụ 2: Viết chương trình tra cứu điểm thi,Nhiệm vụ 3: Viết chương trình kiểm tra điểm thi,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Lý thuyết,Bài 21. Các thuật toán sắp xếp đơn giản,Biết và thực hiện được một số thuật toán sắp xếp đơn giản.,NLc,"NLa, NLe, NLb, NLd",Thuật toán sắp xếp chèn,Thuật toán sắp xếp chọn,Thuật toán sắp xếp nổi bọt,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Thực hành,Bài 22. Thực hành bài toán sắp xếp,Áp dụng được thuật toán sắp xếp trong một vài bài toán cụ thể.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Sắp xếp danh sách mặt hàng trong kho theo thứ tự tăng dần,Nhiệm vụ 2: Sắp xếp danh sách điểm trung bình theo thứ tự giảm dần,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Lý thuyết,Bài 23. Kiểm thử và đánh giá chương trình,"Biết được vai trò của kiểm thử làm tăng độ tin cậy của chương trình nhưng chưa chứng minh được tính đúng của chương trình.
Biết được các tiêu chí đánh giá hiệu quả và tính đúng của chương trình.",NLc,"NLa, NLe, NLb, NLd",Vai trò của kiểm thử chương trình,Kiểm tra tính đúng của chương trình,Đánh giá hiệu quả chương trình,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Lý thuyết,Bài 24. Đánh giá độ phức tạp thời gian thuật toán,"Biết cách phân tích độ phức tạp thời gian thuật toán.
Nhận biết được phép toán tích cực trong chương trình.
Biết và thực hiện được tính toán độ phức tạp thời gian của một số thuật toán đã biết.",NLc,"NLa, NLe, NLb, NLd",Đánh giá thời gian thực hiện chương trình,Phân tích độ phức tạp thời gian thuật toán,Một số quy tắc thực hành tính độ phức tạp thời gian thuật toán,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Thực hành,Bài 25. Thực hành xác định độ phức tạp thời gian thuật toán,Thực hành xác định độ phức tạp (O-lớn) của hàm thời gian.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Xác định độ phức tạp thời gian tính toán của thuật toán tìm kiếm tuần tự,Nhiệm vụ 2: Xác định độ phức tạp của thuật toán sắp xếp chọn,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Lý thuyết,Bài 26. Phương pháp làm mịn dần trong thiết kế chương trình,"Biết và giải thích được phương pháp làm mịn dần trong lập trình.
Vận dụng được phương pháp làm mịn dần để thiết kế chương trình.",NLc,"NLa, NLe, NLb, NLd",Phương pháp thiết kế làm mịn dần,Thiết kế chương trình bằng phương pháp làm mịn dần,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Thực hành,Bài 27. Thực hành thiết kế chương trình theo phương pháp làm mịn dần,Thực hành thiết kế chương trình theo phương pháp làm mịn dần.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Kiểm tra hoán vị,Nhiệm vụ 2: Đếm số lần lặp,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Lý thuyết,Bài 28. Thiết kế chương trình theo mô đun,"Biết và vận dụng được cách thiết kế chương trình theo mô đun cho một số bài toán cụ thể.
Nhận biết được lợi ích của phương pháp thiết kế chương trình theo mô đun.",NLc,"NLa, NLe, NLb, NLd",Thiết kế chương trình theo mô đun,Lợi ích của phương pháp thiết kế theo mô đun,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Thực hành,Bài 29. Thực hành thiết kế chương trình theo mô đun,Thực hành thiết kế một số chương trình hoàn chỉnh theo mô đun.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ: Tính điểm tổng hợp của vận động viên,,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Lý thuyết,Bài 30. Thiết lập thư viện cho chương trình,"Tạo được một thư viện nhỏ của người lập trình.
Trình bày được cấu trúc danh sách liên kết.",NLc,"NLa, NLe, NLb, NLd",Thiết lập thư viện cho chương trình,Cấu trúc danh sách liên kết,,,,,
Kết nối tri thức với cuộc sống,Khoa học máy tính,11,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,Thực hành,Bài 31. Thực hành thiết lập thư viện chương trình,Viết được chương trình vận dụng những kiến thức tích hợp liên môn để giải quyết vấn đề.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1,Nhiệm vụ 2,Nhiệm vụ 3,,,,
Cánh diều,,11,"CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC
",Lý thuyết,Bài 1. Bên trong máy tính,"Nhận biết được sơ đồ của các mạch logic AND, OR, NOT giải thích được vai trò của các mạch logic trong thực hiện các tính toán nhị phân. 
Nêu được tên, nhận diện được hình dạng, mô tả được chức năng và giải thích được đơn vị đo hiệu năng của các bộ phận chính bên trong máy tính.","NLa, NLe","NLb, NLc, NLd",Các cổng logic và tính toán nhị phân.,Những bộ phận chính bên trong máy tính.,Hiệu năng của máy tính.,,,,
Cánh diều,,11,"CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC
",Lý thuyết,Bài 2. Khám phá thế giới thiết bị số thông minh,"Đọc hiểu được một số điểm chính trong tài liệu hướng dẫn về thiết bị số thông dụng. Thực hiện được một số chỉ dẫn trong tài liệu đó. 
Đọc hiểu và giải thích được một vài thông số cơ bản của các thiết bị số thông dụng.","NLa, NLe","NLb, NLc, NLd",Sử dụng đúng cách các thiết bị số.,Thông số kĩ thuật của thiết bị số.,,,,,
Cánh diều,,11,"CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC
",Lý thuyết,Bài 3. Khái quát về hệ điều hành,"Trình bày được một cách khái quát mối quan hệ giữa phần cứng, hệ điều hành và phần mềm ứng dụng. 
Nêu được sơ lược lịch sử phát triển, vai trò và chức năng cơ bản của hai hệ điều hành thông dụng. 
Trình bày được sơ lược về một số hệ điều hành tiêu biểu. 
Sử dụng được một số tiện ích có sẵn của hệ điều hành để nâng cao hiệu suất sử dụng máy tính.","NLa, NLe","NLb, NLc, NLd","Hệ điều hành, vai trò và chức năng của hệ điều hành.",Sơ lược lịch sử phát triển của hệ điều hành qua các thế hệ máy tính.,Một số hệ điều hành tiêu biểu.,Một số hệ điều hành tiêu biểu.,,,
Cánh diều,,11,"CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC
",Thực hành,Bài 4. Thực hành với các thiết bị số,"Kết nối được các bộ phận thân máy, bàn phím, chuột, màn hình của máy tính với nhau. Kết nối được PC với các thiết bị số thông dụng như máy in, điện thoại thông minh, máy ảnh số,... 
Tuỳ chỉnh được một vài chức năng cơ bản của máy tính và các thiết bị vào - ra thông dụng để phù hợp với nhu cầu sử dụng và đạt hiệu quả tốt hơn.","NLa, NLe","NLb, NLc, NLd",Nhiệm vụ 1: Lắp ráp các bộ phận của máy tính.,Nhiệm vụ 2: Kết nối máy tính với các thiết bị số thông dụng.,Nhiệm vụ 3: Cá nhân hoá máy tính.,,,,
Cánh diều,,11,"CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC
",Lý thuyết,Bài 5. Phần mềm ứng dụng và dịch vụ phần mềm,"Biết vấn đề bản quyền trong sử dụng phần mềm nguồn mở. 
Biết cách khai thác các mặt mạnh của phần mềm khai thác trực tuyến, sử dụng các phần mềm này trong học tập và công việc. 
Hiểu được vai trò của phần mềm nguồn mở và phần mềm thương mại đối với sự phát triển của ICT. 
Nêu được tên một số phần mềm soạn thảo văn bản, phần mềm trình chiếu và phần mềm bảng tính nguồn mở trong bộ OpenOffice.","NLa, NLe","NLb, NLc, NLd",Một số loại phần mềm.,Thực hành với phần mềm khai thác trực tuyến miễn phí.,,,,,
Cánh diều,,11,"CHỦ ĐỀ C. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN
",Lý thuyết,Bài 1. Lưu trữ trực tuyến,"Biết được ưu, nhược điểm cơ bản của việc lưu trữ trực tuyến. 
Sử dụng được một số công cụ trực tuyến như: Google Driver, Dropbox,... để lưu trữ và chia sẻ tệp tin.","NLc, NLe","NLa, NLb, NLd",Dịch vụ lưu trữ trực tuyến.,Thực hành lưu trữ và chia sẻ dữ liệu trên Google Drive.,Lợi ích và lưu ý khi sử dụng lưu trữ trực tuyến.,,,,
Cánh diều,,11,"CHỦ ĐỀ C. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN
",Thực hành,Bài 2. Thực hành một số tính năng hữu ích của máy tìm kiếm,"Xác định được các lựa chọn theo tiêu chí tìm kiếm để nâng cao hiệu quả tìm kiếm thông tin. 
Thực hành tìm kiếm thông tin bằng cách nhập từ khoá hoặc giọng nói với Google.","NLc, NLe","NLa, NLb, NLd",Sử dụng biểu thức tìm kiếm.,Tìm kiếm thông tin bằng giọng nói.,,,,,
Cánh diều,,11,"CHỦ ĐỀ C. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN
",Thực hành,Bài 3. Thực hành một số tính năng nâng cao của mạng xã hội,"Sử dụng được một số chức năng nâng cao của dịch vụ mạng xã hội. 
Thực hành các chức năng nâng cao trên mạng xã hội Facebook.","NLc, NLe","NLa, NLb, NLd",Cài đặt bảo mật và quyền riêng tư trên mạng xã hội.,Trao đổi và chia sẻ thông tin.,,,,,
Cánh diều,,11,"CHỦ ĐỀ C. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN
",Thực hành,Bài 4. Thực hành một số tính năng hữu ích của dịch vụ thư điện tử,"Biết cách phân loại và đánh dấu thư điện tử. 
Thực hành phân loại và đánh dấu thư điện tử Gmail.","NLc, NLe","NLa, NLb, NLd",Phân loại thư điện tử.,Quản lí email bằng bộ lọc và tìm kiếm email.,,,,,
Cánh diều,,11,"CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ
",Lý thuyết,Phòng tránh lừa đảo và ứng xử văn hoá trên mạng,"Nêu được một số dạng lừa đảo phổ biến trên mạng và những biện pháp phòng tránh. 
Giao tiếp được trên mạng qua email, chat, mạng xã hội,... và trong môi trường số một cách văn minh, phù hợp với văn hoá ứng xử.",NLb,"NLa, NLc, NLd, NLe",Lừa đảo qua mạng.,Văn hoá ứng xử trên mạng.,,,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 1. Bài toán quản lí và cơ sở dữ liệu,"Nhận biết được nhu cầu lưu trữ dữ liệu và khai thác thông tin cho bài toán quản lí. 
Diễn đạt được khái niệm hệ cơ sở dữ liệu, nêu được ví dụ minh hoạ.",NLc,"NLa, NLe, NLb, NLd",Bài toán quản lí.,Xử lí thông tin trong bài toán quản lí.,Cơ sở dữ liệu và phần mềm hệ quản trị cơ sở dữ liệu.,Thực hành tìm hiểu các yêu cầu của một bài toán quản lí và CSDL phục vụ bài toán đó.,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 2. Bảng và khoá chính trong cơ sở dữ liệu quan hệ,"Diễn đạt được khái niệm quan hệ (bảng) và khoá của một quan hệ. Giải thích được các khái niệm đó qua ví dụ minh hoạ. 
Giải thích được ràng buộc khoá là gì. 
Biết được các phần mềm quản trị CSDL có cơ chế kiểm soát các cập nhật dữ liệu để đảm bảo ràng buộc khoá.",NLc,"NLa, NLe, NLb, NLd",Tổ chức dữ liệu trong CSDL quan hệ và các thao tác trên dữ liệu.,Khoá của một bảng.,Hệ quản trị CSDL đảm bảo ràng buộc khoá.,Thực hành với khoá của bảng trong CSDL.,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 3. Quan hệ giữa các bảng và khoá ngoài trong cơ sở dữ liệu quan hệ,"Diễn đạt được khái niệm khoá ngoài của một bảng và mối liên kết giữa các bảng. Giải thích được các khái niệm đó qua ví dụ minh hoạ. 
Giải thích được ràng buộc khoá ngoài là gì. 
Biết được các phần mềm quản trị CSDL có cơ chế kiểm soát các cập nhật dữ liệu để đảm bảo ràng buộc khoá ngoài.",NLc,"NLa, NLe, NLb, NLd",Tính dư thừa dữ liệu.,Liên kết giữa các bảng và khoá ngoài.,Hệ quản trị CSDL đảm bảo ràng buộc khoá ngoài.,Thực hành về bảng với khoá ngoài.,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 4. Các biểu mẫu cho xem và cập nhập dữ liệu,"Diễn đạt được khái niệm biểu mẫu trong các CSDL và ứng dụng CSDL. 
Giải thích được những ưu điểm khi người dùng xem và cập nhật dữ liệu cho CSDL thông qua biểu mẫu.",NLc,"NLa, NLe, NLb, NLd",Khái niệm và chức năng của biểu mẫu.,Biểu mẫu cho xem dữ liệu.,Biểu mẫu cho cập nhật dữ liệu.,Thực hành tạo biểu mẫu và cập nhật dữ liệu.,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 5. Truy vấn trong cơ sở dữ liệu quan hệ,"Diễn đạt được khái niệm truy vấn CSDL. 
Giải thích được cấu trúc cơ bản SELECT... FROM... WHERE... của câu lệnh SQL. 
Nêu được một vài ví dụ minh hoạ việc dùng truy vấn để tổng hợp, tìm kiếm dữ liệu trên một bảng.",NLc,"NLa, NLe, NLb, NLd",Khái niệm truy vấn CSDL.,Khai thác CSDL bằng câu truy vấn SQL đơn giản,,,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 6. Truy vấn trong cơ sở dữ liệu quan hệ (tiếp theo),"Đưa ra được một vài ví dụ minh hoạ cho việc dùng truy vấn để tổng hợp, tìm kiếm dữ liệu trên hơn một bảng.",NLc,"NLa, NLe, NLb, NLd",Câu lệnh truy vấn SQL với liên kết các bảng.,Kết xuất thông tin bằng báo cáo.,Thực hành truy vấn trong CSDL quan hệ.,,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 7. Các loại kiến trúc của hệ cơ sở dữ liệu,"Phân biệt được CSDL tập trung và CSDL phân tán. 
Biết được một số kiến trúc thường gặp của hai loại hệ CSDL tập trung và hệ CSDL phân tán.",NLc,"NLa, NLe, NLb, NLd",Cơ sở dữ liệu tập trung và cơ sở dữ liệu phân tán.,Các loại kiến trúc của các hệ cơ sở dữ liệu.,,,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Bài 8. An toàn và bảo mật hệ cơ sở dữ liệu,"Nêu được tầm quan trọng của an toàn và bảo mật hệ CSDL. 
Nêu được một số biện pháp bảo vệ sự an toàn và bảo mật hệ CSDL.",NLc,"NLa, NLe, NLb, NLd",Tầm quan trọng của việc bảo vệ sự an toàn của hệ CSDL và bảo mật thông tin trong CSDL.,Một số biện pháp bảo vệ sự an toàn của hệ CSDL và bảo mật thông tin trong CSDL.,,,,,
Cánh diều,,11,"CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH
",Lý thuyết,Nghề quản trị cơ sở dữ liệu,"Biết được một số thông tin cơ bản về nghề quản trị CSDL: các công việc chính; yêu cầu về kiến thức, kĩ năng; các ngành học có liên quan ở các bậc học tiếp theo; nhu cầu nhân lực hiện tại và tương lai. 
Tự tìm kiếm và khai thác được thông tin hướng nghiệp (qua các chương trình đào tạo, thông báo tuyển dụng nhân lực....) về một vài ngành nghề liên quan khác trong lĩnh vực tin học. 
Giao lưu được với bạn bè qua các kênh truyền thông số để tham khảo và trao đổi ý kiến về những thông tin trên.","NLd, NLe, NLb","NLa, NLc",Công việc chính của nhà quản trị CSDL.,Yêu cầu của nghề quản trị CSDL.,Nhu cầu nhân lực và triển vọng phát triển.,Thực hành tìm hiểu một số ngành nghề liên quan.,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 1. Kiểu mảng và cấu trúc mảng,"Trình bày được cấu trúc dữ liệu mảng một chiều. 
Biết và sử dụng được một số hàm có sẵn trong Python để thao tác với biến kiểu mảng.",NLc,"NLa, NLe, NLb, NLd",Biến mảng và cấu trúc mảng.,Mảng một chiều trong Python.,Một số hàm gộp và hàm phân tích thống kê.,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 2. Mảng hai chiều,"Trình bày được cấu trúc dữ liệu mảng hai chiều. 
Sử dụng được danh sách để thể hiện mảng hai chiều trong Python.",NLc,"NLa, NLe, NLb, NLd",Mảng hai chiều.,Sử dụng danh sách làm mảng hai chiều trong Python.,,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,"Bài 3. Thực hành về tệp, mảng và danh sách","Sử dụng được lát cắt để xử lí mảng, danh sách theo ý muốn. 
Biết và sử dụng được một số hàm xử lí tệp dữ liệu đầu vào, đầu ra.",NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Lát cắt.,Nhiệm vụ 2: Vòng lặp.,Nhiệm vụ 3: Đọc dữ liệu từ tệp đầu vào và viết ra tệp.,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 4. Làm mịn dần từng bước từ thuật toán đến chương trình máy tính,"Giải thích được sơ bộ phương pháp làm mịn dần trong lập trình.
Biết được mã giả là gì và sử dụng được mã giả làm mịn dần một số thuật toán đơn giản.",NLc,"NLa, NLe, NLb, NLd",Mã giả và mô tả thuật toán bằng mã giả.,Làm mịn dần các bước mô tả thuật toán.,,,,,
Cánh diều,Khoa học máy tính,11,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 5. Đánh giá thuật toán,"Trình bày được sơ lược khái niệm độ phức tạp thời gian của thuật toán, nêu được ví dụ minh hoạ.
Biết được kí pháp O lớn và các bậc độ phức tạp thời gian.",NLc,"NLa, NLe, NLb, NLd",Các khái niệm cơ bản.,Độ phức tạp thời gian của thuật toán.,Ví dụ về độ phức tạp thời gian hằng số và độ phức tạp thời gian tuyến tính.,Kí pháp O lớn và các bậc độ phức tạp thời gian.,Các quy tắc khi ước lượng thời gian thực hiện thuật toán.,,
